
# Surface 0 of 1 surfaces

# Curve title: "'$cloud'"

# IsoCurve 0, 50 points
# x y z type
 534.673  102.735  14.1573 i
 534.673  134.469  14.1611 i
 534.673  166.204  14.1658 i
 534.673  197.939  14.1709 i
 534.673  229.673  14.1764 i
 534.673  261.408  14.1824 i
 534.673  293.143  14.1893 i
 534.673  324.878  14.1973 i
 534.673  356.612  14.2068 i
 534.673  388.347  14.218 i
 534.673  420.082  14.2315 i
 534.673  451.816  14.2476 i
 534.673  483.551  14.2669 i
 534.673  515.286  14.2899 i
 534.673  547.02  14.3174 i
 534.673  578.755  14.3504 i
 534.673  610.49  14.39 i
 534.673  642.224  14.4376 i
 534.673  673.959  14.4952 i
 534.673  705.694  14.5653 i
 534.673  737.429  14.6516 i
 534.673  769.163  14.7593 i
 534.673  800.898  14.8971 i
 534.673  832.633  15.0798 i
 534.673  864.367  15.3357 i
 534.673  896.102  15.7271 i
 534.673  927.837  16.4215 i
 534.673  959.571  19.6934 i
 534.673  991.306  15.2705 i
 534.673  1023.04  14.4117 i
 534.673  1054.78  14.0569 i
 534.673  1086.51  13.2509 i
 534.673  1118.24  12.0105 i
 534.673  1149.98  12.8506 i
 534.673  1181.71  12.7671 i
 534.673  1213.45  12.7835 i
 534.673  1245.18  12.4954 i
 534.673  1276.92  12.0833 i
 534.673  1308.65  10.8828 i
 534.673  1340.39  12.7554 i
 534.673  1372.12  14.3366 i
 534.673  1403.86  16.5469 i
 534.673  1435.59  17.3612 i
 534.673  1467.33  18.3931 i
 534.673  1499.06  17.577 i
 534.673  1530.8  17.6813 i
 534.673  1562.53  16.5595 i
 534.673  1594.27  16.3142 i
 534.673  1626  16.3864 i

# IsoCurve 9, 50 points
# x y z type
 521.633  71  14.147 i
 521.633  102.735  14.1497 i
 521.633  134.469  14.1541 i
 521.633  166.204  14.1592 i
 521.633  197.939  14.1645 i
 521.633  229.673  14.17 i
 521.633  261.408  14.1759 i
 521.633  293.143  14.1825 i
 521.633  324.878  14.1902 i
 521.633  356.612  14.1993 i
 521.633  388.347  14.2102 i
 521.633  420.082  14.2232 i
 521.633  451.816  14.2388 i
 521.633  483.551  14.2576 i
 521.633  515.286  14.2802 i
 521.633  547.02  14.3073 i
